"EPISODE_ID","DIRECTOR"
"S1E1","James Burrows"
"S1E2","James Burrows"
"S1E3","James Burrows"
"S1E4","James Burrows"
"S1E5","Pamela Fryman"
"S1E6","Arlene Sanford"
"S1E7","James Burrows"
"S1E8","James Burrows"
"S1E9","James Burrows"
"S1E10","Peter Bonerz"
"S1E11","James Burrows"
"S1E12","Paul Lazarus"
"S1E13","Alan Myerson"
"S1E14","James Burrows"
"S1E15","Alan Myerson"
"S1E16","Michael Lembeck"
"S1E17","Michael Lembeck"
"S1E18","James Burrows"
"S1E19","Peter Bonerz"
"S1E20","Peter Bonerz"
"S1E21","Gail Mancuso"
"S1E22","Robby Benson"
"S1E23","James Burrows"
"S1E24","Kevin S. Bright"
"S2E1","Michael Lembeck"
"S2E2","Michael Lembeck"
"S2E3","Kevin S. Bright"
"S2E4","Gail Mancuso"
"S2E5","Ellen Gittelsohn"
"S2E6","Gail Mancuso"
"S2E7","Peter Bonerz"
"S2E8","Mary Kay Place"
"S2E9","Kevin S. Bright"
"S2E10","Thomas Schlamme"
"S2E11","Thomas Schlamme"
"S2E12","Michael Lembeck"
"S2E13","Michael Lembeck"
"S2E14","James Burrows"
"S2E15","Michael Lembeck"
"S2E16","Michael Lembeck"
"S2E17","Michael Lembeck"
"S2E18","Michael Lembeck"
"S2E19","Michael Lembeck"
"S2E20","Michael Lembeck"
"S2E21","Michael Lembeck"
"S2E22","Michael Lembeck"
"S2E23","Michael Lembeck"
"S2E24","Michael Lembeck"
"S3E1","Gail Mancuso"
"S3E2","Gail Mancuso"
"S3E3","Kevin S. Bright"
"S3E4","Steve Zuckerman"
"S3E5","Steve Zuckerman"
"S3E6","Peter Bonerz"
"S3E7","Gail Mancuso"
"S3E8","Gail Mancuso"
"S3E9","Kevin S. Bright"
"S3E10","Terry Hughes"
"S3E11","Terry Hughes"
"S3E12","Robby Benson"
"S3E13","Robby Benson"
"S3E14","Robby Benson"
"S3E15","James Burrows"
"S3E16","James Burrows"
"S3E17","Sam Simon"
"S3E18","Robby Benson"
"S3E19","Terry Hughes"
"S3E20","Terry Hughes"
"S3E21","Michael Lembeck"
"S3E22","Peter Bonerz"
"S3E23","Shelley Jensen"
"S3E24","Robby Benson"
"S3E25","Pamela Fryman"
"S4E1","Shelley Jensen"
"S4E2","Shelley Jensen"
"S4E3","Peter Bonerz"
"S4E4","Gail Mancuso"
"S4E5","Gail Mancuso"
"S4E6","Shelley Jensen"
"S4E7","Kevin S. Bright"
"S4E8","Peter Bonerz"
"S4E9","Peter Bonerz"
"S4E10","Gary Halvorson"
"S4E11","David Steinberg"
"S4E12","Kevin S. Bright"
"S4E13","Dana DeVally Piazza"
"S4E14","Peter Bonerz"
"S4E15","James Burrows"
"S4E16","Michael Lembeck"
"S4E17","Michael Lembeck"
"S4E18","Gail Mancuso"
"S4E19","Kevin S. Bright"
"S4E20","Gail Mancuso"
"S4E21","Peter Bonerz"
"S4E22","Peter Bonerz"
"S4E23","Kevin S. Bright"
"S4E24","Kevin S. Bright"
"S5E1","Kevin S. Bright"
"S5E2","Gary Halvorson"
"S5E3","Kevin S. Bright"
"S5E4","Shelley Jensen"
"S5E5","Dana DeValley Piazza"
"S5E6","Gary Halvorson"
"S5E7","Gary Halvorson"
"S5E8","Kevin S. Bright"
"S5E9","Gary Halvorson"
"S5E10","Dana DeValley Piazza"
"S5E11","Joe Regalbuto"
"S5E12","Kevin S. Bright"
"S5E13","Gail Mancuso"
"S5E14","Michael Lembeck"
"S5E15","Kevin S. Bright"
"S5E16","Andrew Tsao"
"S5E17","Shelley Jensen"
"S5E18","Todd Holland"
"S5E19","Gail Mancuso"
"S5E20","Gary Halvorson"
"S5E21","Gary Halvorson"
"S5E22","Gary Halvorson"
"S5E23","Kevin S. Bright"
"S5E24","Kevin S. Bright"
"S6E1","Kevin S. Bright"
"S6E2","Gail Mancuso"
"S6E3","Gary Halvorson"
"S6E4","Gary Halvorson"
"S6E5","Gary Halvorson"
"S6E6","David Schwimmer"
"S6E7","Gary Halvorson"
"S6E8","Gary Halvorson"
"S6E9","Kevin S. Bright"
"S6E10","Kevin S. Bright"
"S6E11","Kevin S. Bright"
"S6E12","Gary Halvorson"
"S6E13","Gary Halvorson"
"S6E14","Kevin S. Bright"
"S6E15","Michael Lembeck"
"S6E16","Michael Lembeck"
"S6E17","Gary Halvorson"
"S6E18","Gary Halvorson"
"S6E19","Ben Weiss"
"S6E20","Kevin S. Bright"
"S6E21","Michael Lembeck"
"S6E22","Gary Halvorson"
"S6E23","Gary Halvorson"
"S6E24","Kevin S. Bright"
"S6E25","Kevin S. Bright"
"S7E1","Kevin S. Bright"
"S7E2","Michael Lembeck"
"S7E3","Gary Halvorson"
"S7E4","David Schwimmer"
"S7E5","Gary Halvorson"
"S7E6","Gary Halvorson"
"S7E7","David Schwimmer"
"S7E8","Kevin S. Bright"
"S7E9","David Schwimmer"
"S7E10","Gary Halvorson"
"S7E11","Gary Halvorson"
"S7E12","Kevin S. Bright"
"S7E13","Stephen Prime"
"S7E14","Ben Weiss"
"S7E15","Kevin S. Bright"
"S7E16","David Schwimmer"
"S7E17","Kevin S. Bright"
"S7E18","Gary Halvorson"
"S7E19","Gary Halvorson"
"S7E20","Gary Halvorson"
"S7E21","Gary Halvorson"
"S7E22","Kevin S. Bright"
"S7E22","Gary Halvorson"
"S7E23","Kevin S. Bright"
"S7E24","Kevin S. Bright"
"S8E1","Kevin S. Bright"
"S8E2","David Schwimmer"
"S8E3","Sheldon Epps"
"S8E4","Kevin S. Bright"
"S8E5","Gary Halvorson"
"S8E6","Gary Halvorson"
"S8E7","Kevin S. Bright"
"S8E8","David Schwimmer"
"S8E9","Gary Halvorson"
"S8E10","Kevin S. Bright"
"S8E11","Gary Halvorson"
"S8E12","David Schwimmer"
"S8E13","Ben Weiss"
"S8E14","Kevin S. Bright"
"S8E15","Kevin S. Bright"
"S8E16","Ben Weiss"
"S8E17","Gary Halvorson"
"S8E18","Gary Halvorson"
"S8E19","Gary Halvorson"
"S8E20","Kevin S. Bright"
"S8E21","Gary Halvorson"
"S8E22","Gary Halvorson"
"S8E23","Kevin S. Bright"
"S8E24","Kevin S. Bright"
"S9E1","Kevin S. Bright"
"S9E2","Sheldon Epps"
"S9E3","Roger Christiansen"
"S9E4","Ben Weiss"
"S9E5","David Schwimmer"
"S9E6","Kevin S. Bright"
"S9E7","Gary Halvorson"
"S9E8","Kevin S. Bright"
"S9E9","Ben Weiss"
"S9E10","Kevin S. Bright"
"S9E11","Gary Halvorson"
"S9E12","Ben Weiss"
"S9E13","Gary Halvorson"
"S9E14","Gary Halvorson"
"S9E15","Gary Halvorson"
"S9E16","Gary Halvorson"
"S9E17","Gary Halvorson"
"S9E18","Gary Halvorson"
"S9E19","Terry Hughes"
"S9E20","Sheldon Epps"
"S9E21","Gary Halvorson"
"S9E22","Ben Weiss"
"S9E23","Kevin S. Bright"
"S9E24","Kevin S. Bright"
"S10E1","Kevin S. Bright"
"S10E2","Ben Weiss"
"S10E3","Gary Halvorson"
"S10E4","Gary Halvorson"
"S10E5","Roger Christiansen"
"S10E6","Ben Weiss"
"S10E7","Kevin S. Bright"
"S10E8","Gary Halvorson"
"S10E9","David Schwimmer"
"S10E10","Gary Halvorson"
"S10E11","Kevin S. Bright"
"S10E12","Kevin S. Bright"
"S10E13","Gary Halvorson"
"S10E14","Gary Halvorson"
"S10E15","Gary Halvorson"
"S10E16","Gary Halvorson"
"S10E17","Kevin S. Bright"
"S10E18","Kevin S. Bright"
