"season","episode","scene","utterance","emotion","EPISODE_ID"
"1","1","4","1","Mad","S1E1"
"1","1","4","3","Neutral","S1E1"
"1","1","4","4","Joyful","S1E1"
"1","1","4","5","Neutral","S1E1"
"1","1","4","6","Neutral","S1E1"
"1","1","4","7","Neutral","S1E1"
"1","1","4","8","Scared","S1E1"
"1","1","4","10","Joyful","S1E1"
"1","1","4","11","Joyful","S1E1"
"1","1","4","12","Sad","S1E1"
"1","1","4","13","Mad","S1E1"
"1","1","4","14","Scared","S1E1"
"1","1","4","15","Neutral","S1E1"
"1","1","4","16","Sad","S1E1"
"1","1","4","17","Sad","S1E1"
"1","1","4","18","Mad","S1E1"
"1","1","4","19","Mad","S1E1"
"1","1","5","1","Mad","S1E1"
"1","1","5","2","Sad","S1E1"
"1","1","5","3","Sad","S1E1"
"1","1","5","4","Powerful","S1E1"
"1","1","5","5","Joyful","S1E1"
"1","1","5","6","Joyful","S1E1"
"1","1","5","7","Powerful","S1E1"
"1","1","5","8","Peaceful","S1E1"
"1","1","5","9","Powerful","S1E1"
"1","1","7","1","Sad","S1E1"
"1","1","7","2","Mad","S1E1"
"1","1","7","3","Mad","S1E1"
"1","1","7","4","Sad","S1E1"
"1","1","7","5","Sad","S1E1"
"1","1","7","6","Scared","S1E1"
"1","1","7","7","Powerful","S1E1"
"1","1","7","8","Scared","S1E1"
"1","1","7","9","Mad","S1E1"
"1","1","8","1","Sad","S1E1"
"1","1","8","2","Neutral","S1E1"
"1","1","8","3","Sad","S1E1"
"1","1","8","4","Neutral","S1E1"
"1","1","8","5","Scared","S1E1"
"1","1","8","6","Neutral","S1E1"
"1","1","8","7","Sad","S1E1"
"1","1","8","8","Neutral","S1E1"
"1","1","8","9","Sad","S1E1"
"1","1","8","10","Neutral","S1E1"
"1","1","8","11","Neutral","S1E1"
"1","1","8","12","Joyful","S1E1"
"1","1","8","13","Neutral","S1E1"
"1","1","8","14","Neutral","S1E1"
"1","1","10","1","Peaceful","S1E1"
"1","1","10","2","Scared","S1E1"
"1","1","10","3","Joyful","S1E1"
"1","1","10","4","Peaceful","S1E1"
"1","1","10","5","Sad","S1E1"
"1","1","12","1","Joyful","S1E1"
"1","1","12","2","Neutral","S1E1"
"1","1","12","3","Neutral","S1E1"
"1","1","12","4","Neutral","S1E1"
"1","1","12","5","Mad","S1E1"
"1","1","12","6","Neutral","S1E1"
"1","1","12","7","Neutral","S1E1"
"1","1","12","8","Neutral","S1E1"
"1","1","12","9","Neutral","S1E1"
"1","1","13","1","Mad","S1E1"
"1","1","13","2","Mad","S1E1"
"1","1","13","3","Neutral","S1E1"
"1","1","13","4","Mad","S1E1"
"1","1","13","5","Peaceful","S1E1"
"1","1","13","6","Mad","S1E1"
"1","1","13","7","Peaceful","S1E1"
"1","1","13","8","Sad","S1E1"
"1","1","13","9","Joyful","S1E1"
"1","1","13","11","Neutral","S1E1"
"1","1","13","12","Neutral","S1E1"
"1","1","13","13","Mad","S1E1"
"1","1","13","14","Neutral","S1E1"
"1","1","13","15","Joyful","S1E1"
"1","1","13","16","Neutral","S1E1"
"1","1","13","17","Joyful","S1E1"
"1","1","13","18","Neutral","S1E1"
"1","1","13","19","Neutral","S1E1"
"1","1","13","20","Neutral","S1E1"
"1","1","13","21","Neutral","S1E1"
"1","1","15","1","Neutral","S1E1"
"1","1","15","2","Joyful","S1E1"
"1","1","15","3","Scared","S1E1"
"1","1","15","4","Joyful","S1E1"
"1","1","15","5","Mad","S1E1"
"1","1","15","6","Neutral","S1E1"
"1","1","15","7","Mad","S1E1"
"1","1","15","8","Peaceful","S1E1"
"1","1","15","9","Joyful","S1E1"
"1","1","15","10","Neutral","S1E1"
"1","1","15","11","Peaceful","S1E1"
"1","1","15","12","Scared","S1E1"
"1","1","15","13","Neutral","S1E1"
"1","1","15","14","Joyful","S1E1"
"1","1","15","15","Peaceful","S1E1"
"1","1","15","16","Scared","S1E1"
"1","1","15","17","Mad","S1E1"
"1","1","15","18","Neutral","S1E1"
"1","2","1","1","Joyful","S1E2"
"1","2","1","2","Neutral","S1E2"
"1","2","1","3","Joyful","S1E2"
"1","2","1","4","Powerful","S1E2"
"1","2","1","5","Powerful","S1E2"
"1","2","1","6","Joyful","S1E2"
"1","2","1","7","Neutral","S1E2"
"1","2","1","8","Mad","S1E2"
"1","2","1","9","Sad","S1E2"
"1","2","1","10","Joyful","S1E2"
"1","2","2","1","Scared","S1E2"
"1","2","2","2","Sad","S1E2"
"1","2","2","3","Scared","S1E2"
"1","2","2","4","Mad","S1E2"
"1","2","2","5","Neutral","S1E2"
"1","2","2","6","Mad","S1E2"
"1","2","2","8","Scared","S1E2"
