season,episode,title,directed_by,written_by,air_date,VIEWS_US,imdb_rating,EPISODE_ID
1,1,The Pilot,James Burrows,David Crane & Marta Kauffman,1994-09-22,21500000,8.3,S1E1
1,2,The One with the Sonogram at the End,James Burrows,David Crane & Marta Kauffman,1994-09-29,20200000,8.1,S1E2
1,3,The One with the Thumb,James Burrows,Jeffrey Astrof & Mike Sikowitz,1994-10-06,19500000,8.2,S1E3
1,4,The One with George Stephanopoulos,James Burrows,Alexa Junge,1994-10-13,19700000,8.1,S1E4
1,5,The One with the East German Laundry Detergent,Pamela Fryman,Jeff Greenstein & Jeff Strauss,1994-10-20,18600000,8.5,S1E5
1,6,The One with the Butt,Arlene Sanford,Adam Chase & Ira Ungerleider,1994-10-27,18200000,8.1,S1E6
1,7,The One with the Blackout,James Burrows,Jeffrey Astrof & Mike Sikowitz,1994-11-03,23500000,9,S1E7
1,8,The One Where Nana Dies Twice,James Burrows,Marta Kauffman & David Crane,1994-11-10,21100000,8.1,S1E8
1,9,The One Where Underdog Gets Away,James Burrows,Jeff Greenstein & Jeff Strauss,1994-11-17,23100000,8.2,S1E9
1,10,The One with the Monkey,Peter Bonerz,Adam Chase & Ira Ungerleider,1994-12-15,19900000,8.1,S1E10
1,11,The One with Mrs. Bing,James Burrows,Alexa Junge,1995-01-05,26600000,8.2,S1E11
1,12,The One with the Dozen Lasagnas,Paul Lazarus,Jeffrey Astrof & Mike Sikowitz & Adam Chase & Ira Ungerleider,1995-01-12,24000000,8.2,S1E12
1,13,The One with the Boobies,Alan Myerson,Alexa Junge,1995-01-19,25800000,8.7,S1E13
1,14,The One with the Candy Hearts,James Burrows,Bill Lawrence,1995-02-09,23800000,8.3,S1E14
1,15,The One with the Stoned Guy,Alan Myerson,Jeff Greenstein & Jeff Strauss,1995-02-16,24800000,8.2,S1E15
1,16,The One with Two Parts: Part 1,Michael Lembeck,Marta Kauffman & David Crane,1995-02-23,26100000,8.2,S1E16
1,17,The One with Two Parts: Part 2,Michael Lembeck,Marta Kauffman & David Crane,1995-02-23,30500000,8.5,S1E17
1,18,The One with All the Poker,James Burrows,Jeffrey Astrof & Mike Sikowitz,1995-03-02,30400000,8.8,S1E18
1,19,The One Where the Monkey Gets Away,Peter Bonerz,Jeffrey Astrof & Mike Sikowitz,1995-03-09,29400000,8.1,S1E19
1,20,The One with the Evil Orthodontist,Peter Bonerz,Doty Abrams,1995-04-06,30000000,7.9,S1E20
1,21,The One with the Fake Monica,Gail Mancuso,Adam Chase & Ira Ungerleider,1995-04-27,28400000,7.9,S1E21
1,22,The One with the Ick Factor,Robby Benson,Alexa Junge,1995-05-04,29900000,8.3,S1E22
1,23,The One with the Birth,James Burrows,Story by : David Crane & Marta KauffmanTeleplay by : Jeff Greenstein & Jeff Strauss,1995-05-11,28700000,8.7,S1E23
