original_line_id,text,speaker,season,episode,scene,utterance,EPISODE_ID,evaluation,line_id_global,line_id_local,line_id,manual_flag,new_scene,split_marker
57144,"Hey Hon, could you help me get the plates down?",Monica Geller,9,8,1,1,S9E8,ok,1,1,1,,,
57145,"Yeah. Hey, here's an idea, why don't we use our wedding china today?",Chandler Bing,9,8,1,2,S9E8,ok,2,2,2,,,
57146,"No, I think we should save our china for something really special. Like if the Queen of England comes over.",Monica Geller,9,8,1,3,S9E8,ok,3,3,3,,,
57147,"Honey, she keeps canceling on us, take the hint.",Chandler Bing,9,8,1,4,S9E8,ok,4,4,4,,,
57148,"What if something gets broken, they're so expensive.",Monica Geller,9,8,1,5,S9E8,ok,5,5,5,,,
57149,What is the point of having them if we never use them?,Chandler Bing,9,8,1,6,S9E8,ok,6,6,6,,,
57150,"Ok, but if something gets broken, and then the Queen comes over..",Monica Geller,9,8,1,7,S9E8,ok,7,7,7,,,
57151,I will explain it to her.,Chandler Bing,9,8,1,8,S9E8,ok,8,8,8,,,
57152,"Oh yeah, like I'm going to let you talk to the queen.",Monica Geller,9,8,1,9,S9E8,ok,9,9,9,,,
57153,"wow, the parade is really good this year. Man those horses can crap.",Joey Tribbiani,9,8,1,10,S9E8,ok,10,10,10,,,
57154,"Next up is a marching band from Muskogee, OK.",Tv Announcer,9,8,1,11,S9E8,ok,11,11,11,,,
57155,Muskogee! That's like four hours from Tulsa. Woo hoo!,Chandler Bing,9,8,1,12,S9E8,ok,12,12,12,,,
57156,And heres the float with the stars of the popular daytime soap Days of Our Lives .,Tv Announcer,9,8,1,13,S9E8,ok,13,13,13,,,
57157,Oh my God!,Joey Tribbiani,9,8,1,14,S9E8,ok,14,14,14,,,
57158,Aren't you one of the stars of the popular daytime soap Days of Our Lives?,Chandler Bing,9,8,1,15,S9E8,ok,15,15,15,,,
57159,Yeah! I totally forgot I'm supposed to be there. I can't believe I forgot. I usually write stuff like this on my arm. Oh! Stupid long sleeves.,Joey Tribbiani,9,8,1,16,S9E8,ok,16,16,16,,,
57160,What are you going to do?,Chandler Bing,9,8,1,17,S9E8,ok,17,17,17,,,
57161,"I guess I'm going to have to come up with a really good reason why I wasn't there. The producers are going to be so mad at me. They sat us all down yesterday and said ""Everyone has to be there at 6:00 AM sharp, that means you Tribbiani."" Like.. like I was some kind of idiot.",Joey Tribbiani,9,8,1,18,S9E8,ok,18,18,18,,,
57162,Well you proved them wrong.,Chandler Bing,9,8,1,19,S9E8,ok,19,19,19,,,
57163,Yeah. Ross and Rachels Apartment.,Joey Tribbiani,9,8,1,20,S9E8,ok,20,20,20,,,
57164,Oh Emma. This is going to be your first Thanksgiving. What are you thankful for? Mommy's bobbies.,Rachel Green,9,8,1,21,S9E8,ok,21,21,21,,,
57165,A lot of people are thankful for those.,Ross Geller,9,8,1,22,S9E8,ok,22,22,22,,,
57166,Hello? Rachel?,Woman At Door,9,8,1,23,S9E8,ok,23,23,23,,,
57167,Who is it?,Rachel Green,9,8,1,24,S9E8,ok,24,24,24,,,
57168,It's your favorite sister.,Woman At Door,9,8,1,25,S9E8,ok_split,25,25,25,,,
57168,Jill?,"Ross Geller, Rachel Green",9,8,1,26,S9E8,updated_scene_dir,26,26,26,,,
57168,Amy.,Woman at door in a sing song voice,9,8,1,27,S9E8,ok_split,27,27,27,,,
57169,Hide my rings.,Rachel Green,9,8,1,28,S9E8,ok,28,28,28,,,
57170,Oh. Amy! Happy Thanksgiving.,Rachel Green,9,8,1,29,S9E8,ok,29,29,29,,,
57171,Do you have a hair straightener?,Amy Green,9,8,1,30,S9E8,ok,30,30,30,,,
57172,Um... hi.,Rachel Green,9,8,1,31,S9E8,ok,31,31,31,,,
57173,oh... hi..,Amy Green,9,8,1,32,S9E8,ok,32,32,32,,,
57174,Aw.,Rachel Green,9,8,1,33,S9E8,ok,33,33,33,,,
57175,Hair Straightener?,Amy Green,9,8,1,34,S9E8,ok,34,34,34,,,
57176,I haven't seen you in like.. a year.,Rachel Green,9,8,1,35,S9E8,ok,35,35,35,,,
57177,"Oh, I know, I know. I've just been crazed.",Amy Green,9,8,1,36,S9E8,ok,36,36,36,,,
57178,Oh well yeah me too. Um.. I had a baby.,Rachel Green,9,8,1,37,S9E8,ok,37,37,37,,,
57179,I decorated Dad's office.,Amy Green,9,8,1,38,S9E8,ok,38,38,38,,,
57180,"Oh.. yeah? Well unless you pushed a desk out of your vagina, not the same thing.",Rachel Green,9,8,1,39,S9E8,ok,39,39,39,,,
57181,"Listen, um about the hair straightener, honey.. I really need one. I'm going to have dinner at my boyfriend's house.",Amy Green,9,8,1,40,S9E8,ok,40,40,40,,,
57182,Oh my God!,Amy Green,9,8,1,41,S9E8,ok,41,41,41,,,
57183,mh hmm..,Rachel Green,9,8,1,42,S9E8,ok,42,42,42,,,
57184,Is this Emmett?,Amy Green,9,8,1,43,S9E8,ok,43,43,43,,,
57185,Uh.... its Emma.,Rachel Green,9,8,1,44,S9E8,ok,44,44,44,,,
57186,Its a girl?,Amy Green,9,8,1,45,S9E8,ok,45,45,45,,,
57187,Hey Amy.,Ross Geller,9,8,1,46,S9E8,ok,46,46,46,,,
57188,"Oh Amy, you remember Ross.",Rachel Green,9,8,1,47,S9E8,ok,47,47,47,,,
57189,Not really. But you are much cuter then that geeky guy she used to date.,Amy Green,9,8,1,48,S9E8,ok,48,48,48,,,
57190,That was me.,Ross Geller,9,8,1,49,S9E8,ok,49,49,49,,,
57191,"No, he was this creepy guy from high school who had this huge crush on her since like the ninth grade.",Amy Green,9,8,1,50,S9E8,ok_split,50,50,50,,,
57191,Still me.,Ross Geller,9,8,1,51,S9E8,updated_scene_dir,51,51,51,,,
57192,"No, I'm not talking about you. It was your fat friends brother with that bad afro, do you remember?",Amy Green,9,8,1,52,S9E8,ok_split,52,52,52,,,
57192,"Amy. I'm going to save you some time, ok. All me. Monica and Chandler's Apartment.",Ross Geller,9,8,1,53,S9E8,updated_scene_dir,53,53,53,,,
57193,Careful. Careful. CAREFUL! Sorry.,Monica Geller,9,8,1,54,S9E8,ok,54,54,54,,,
57194,"I'll tell you what, for the rest of our lives, I'll be careful until told otherwise. hey wait a minute this isn't the china we picked out..",Chandler Bing,9,8,1,55,S9E8,ok,55,55,55,,,
57195,"I know, after you left the store, I chose different ones.",Monica Geller,9,8,1,56,S9E8,ok,56,56,56,,,
57196,Why?,Chandler Bing,9,8,1,57,S9E8,ok,57,57,57,,,
57197,"well no offense honey, but your taste is a little feminine for me.",Monica Geller,9,8,1,58,S9E8,ok,58,58,58,,,
57198,"Oh suddenly, flowers are feminine?",Chandler Bing,9,8,1,59,S9E8,ok,59,59,59,,,
57199,"Hey, everybody. Happy Thanksgiving!",Phoebe Buffay,9,8,1,60,S9E8,ok,60,60,60,,,
57200,Hey happy Thanksgiving.. Pheebs!,Joey Tribbiani,9,8,1,61,S9E8,ok,61,61,61,,,
57201,"Hey, what's going on Joe?",Phoebe Buffay,9,8,1,62,S9E8,ok,62,62,62,,,
57202,I.. I.. I need a good lie.,Joey Tribbiani,9,8,1,63,S9E8,ok,63,63,63,,,
57203,"Oh okay. How about the whole ""man walking on the moon"" thing. You know? You. you could. You could see the strings people!",Phoebe Buffay,9,8,1,64,S9E8,ok,64,64,64,,,
57204,"No, no, no I need a good lie to explain why I wasn't at a work thing today.",Joey Tribbiani,9,8,1,65,S9E8,ok,65,65,65,,,
57205,"Ooh, honey. You stink at lying.",Phoebe Buffay,9,8,1,66,S9E8,ok,66,66,66,,,
57206,I do not.,Joey Tribbiani,9,8,1,67,S9E8,ok,67,67,67,,,
57207,"Oh really. Okay. let me ask you something. Yesterday at the coffee house, I went to the bathroom and when I came back, my muffin was gone-who took it?",Phoebe Buffay,9,8,1,68,S9E8,ok,68,68,68,,,
57208,"Somebody opened the door to the coffee house and a raccoon came running in, went straight for your muffin and I said ""Hey don't eat that-that's Phoebe's"" and he said.. He said.. ""Joey you stink at lying."" What am I going to do?",Joey Tribbiani,9,8,1,69,S9E8,ok,69,69,69,,,
57209,"Don't worry, don't worry. We'll come up with a good lie. I'll help you practice it.",Phoebe Buffay,9,8,1,70,S9E8,ok,70,70,70,,,
57210,"Oh great, that'd be great. Thank you.",Joey Tribbiani,9,8,1,71,S9E8,ok,71,71,71,,,
57211,"Sure, what.. what was the work thing?",Phoebe Buffay,9,8,1,72,S9E8,ok,72,72,72,,,
57212,Uh..,Joey Tribbiani,9,8,1,73,S9E8,ok,73,73,73,,,
57213,"""Pick up grandma at the airport""?",Phoebe Buffay,9,8,1,74,S9E8,ok,74,74,74,,,
57214,Oh.. man.. Ross and Rachel's Apartment.,Joey Tribbiani,9,8,1,75,S9E8,ok,75,75,75,,,
57215,Oh she's precious. Do you ever worry she's going to get your real nose?,Amy Green,9,8,1,76,S9E8,ok,76,76,76,,,
57216,Amy! Yes I do.. I really do.,Rachel Green,9,8,1,77,S9E8,ok,77,77,77,,,
57217,"Hello? Yeah, um. Hang on one sec. Can I take this upstairs?",Amy Green,9,8,1,78,S9E8,ok,78,78,78,,,
57218,"Sure, we don't live there but...",Ross Geller,9,8,1,79,S9E8,ok,79,79,79,,,
57219,Seriously? Its.. its just these rooms? I thought you were a doctor.,Amy Green,9,8,1,80,S9E8,ok,80,80,80,,,
57220,"Yeah, no. Ross has a PhD.",Rachel Green,9,8,1,81,S9E8,ok,81,81,81,,,
57221,Ew.,Amy Green,9,8,1,82,S9E8,ok,82,82,82,,,
57222,God she is unbelievable.,Rachel Green,9,8,1,83,S9E8,ok,83,83,83,,,
57223,"I know, I mean a PhD is just as good as an MD.",Ross Geller,9,8,1,84,S9E8,ok,84,84,84,,,
